epoch,strategy,arm,current reward,cumulative reward,optimal
365,Epsilon Greedy,6,188.67667626432618,60442.744514720536,True
366,Epsilon Greedy,6,189.40220696216616,60632.1467216827,True
367,Epsilon Greedy,6,188.88586974337312,60821.032591426076,True
368,Epsilon Greedy,6,187.67502968172386,61008.7076211078,True
369,Epsilon Greedy,6,189.26819990714273,61197.975821014945,True
370,Epsilon Greedy,6,190.11208458119012,61388.087905596134,True
371,Epsilon Greedy,6,188.49902730116023,61576.58693289729,True
372,Epsilon Greedy,6,189.3450492617069,61765.931982158996,True
373,Epsilon Greedy,2,53.45878145010776,61819.3907636091,False
374,Epsilon Greedy,6,189.06387320791842,62008.45463681702,True
375,Epsilon Greedy,6,189.1440933085415,62197.59873012556,True
376,Epsilon Greedy,6,188.65286206605276,62386.25159219161,True
377,Epsilon Greedy,6,188.9058902434281,62575.15748243504,True
378,Epsilon Greedy,5,169.301484693268,62744.45896712831,False
379,Epsilon Greedy,6,188.2568004158845,62932.71576754419,True
380,Epsilon Greedy,6,188.4530608047336,63121.16882834893,True
381,Epsilon Greedy,6,189.91920115516,63311.088029504084,True
382,Epsilon Greedy,6,189.5408654681399,63500.62889497222,True
383,Epsilon Greedy,6,187.81066984601733,63688.43956481824,True
384,Epsilon Greedy,6,187.43992212795766,63875.8794869462,True
385,Epsilon Greedy,6,188.68016157398836,64064.55964852019,True
386,Epsilon Greedy,6,187.45855258784943,64252.01820110804,True
387,Epsilon Greedy,6,189.18404008723292,64441.20224119527,True
388,Epsilon Greedy,6,189.28269576778766,64630.48493696306,True
389,Epsilon Greedy,6,187.58132753400935,64818.06626449707,True
390,Epsilon Greedy,6,188.9994298966068,65007.06569439368,True
391,Epsilon Greedy,6,188.95143107478154,65196.01712546846,True
392,Epsilon Greedy,6,187.88289910087607,65383.90002456934,True
393,Epsilon Greedy,6,188.30831980396096,65572.2083443733,True
394,Epsilon Greedy,6,189.06740765492754,65761.27575202823,True
395,Epsilon Greedy,6,188.03354697542963,65949.30929900367,True
396,Epsilon Greedy,6,187.24371810333997,66136.55301710701,True
397,Epsilon Greedy,6,188.3368111127547,66324.88982821976,True
398,Epsilon Greedy,6,188.8982668679104,66513.78809508767,True
399,Epsilon Greedy,6,187.47234486780036,66701.26043995547,True
400,Epsilon Greedy,6,189.94733029405742,66891.20777024953,True
401,Epsilon Greedy,4,109.65545638810329,67000.86322663764,False
402,Epsilon Greedy,6,188.70393133749783,67189.56715797514,True
403,Epsilon Greedy,1,33.07759346170258,67222.64475143683,False
404,Epsilon Greedy,6,188.58249392424335,67411.22724536108,True
405,Epsilon Greedy,6,189.9528828859865,67601.18012824707,True
406,Epsilon Greedy,6,187.60312917672871,67788.7832574238,True
407,Epsilon Greedy,6,186.88051511189354,67975.66377253568,True
408,Epsilon Greedy,6,190.28298013527942,68165.94675267096,True
409,Epsilon Greedy,7,60.31766644956296,68226.26441912053,False
410,Epsilon Greedy,6,188.3335962123345,68414.59801533287,True
411,Epsilon Greedy,6,189.41054115112212,68604.008556484,True
412,Epsilon Greedy,6,188.96983376105382,68792.97839024506,True
413,Epsilon Greedy,6,187.56059845233932,68980.5389886974,True
414,Epsilon Greedy,6,190.1244046058887,69170.66339330329,True
415,Epsilon Greedy,6,188.72325997349648,69359.38665327679,True
416,Epsilon Greedy,3,180.65967216252253,69540.04632543931,False
417,Epsilon Greedy,6,187.15117445752028,69727.19749989684,True
418,Epsilon Greedy,6,188.41909989617275,69915.61659979301,True
419,Epsilon Greedy,6,190.79737814336906,70106.41397793638,True
420,Epsilon Greedy,6,190.86684847520795,70297.28082641159,True
421,Epsilon Greedy,6,189.03967936366465,70486.32050577525,True
422,Epsilon Greedy,6,187.88019435670356,70674.20070013196,True
423,Epsilon Greedy,6,189.84250784724014,70864.0432079792,True
424,Epsilon Greedy,6,188.95268366431068,71052.9958916435,True
425,Epsilon Greedy,6,189.58213733632124,71242.57802897981,True
426,Epsilon Greedy,6,188.74552332058778,71431.3235523004,True
427,Epsilon Greedy,6,189.0145247687263,71620.33807706913,True
428,Epsilon Greedy,6,190.49813004206212,71810.83620711119,True
429,Epsilon Greedy,6,188.57647055871047,71999.4126776699,True
430,Epsilon Greedy,1,33.03691192407862,72032.44958959398,False
431,Epsilon Greedy,6,189.4673781671276,72221.9169677611,True
432,Epsilon Greedy,6,188.08691931036148,72410.00388707146,True
